country_code,year,mean_avg_welfare,median_quantile,welfare_std,welfare_iqr,total_pop,is_partial_year,bottom20_avg_welfare,bottom20_welfare_share,bottom40_welfare_share,top20_avg_welfare,top20_welfare_share,top10_avg_welfare,top10_welfare_share,p10_avg_welfare,p90_avg_welfare,top20_bottom20_ratio,p90_p10_ratio,welfare_gap,time_code,country_name,gdp_per_capita,life_expectancy,school_enrollment_secondary,population_total,electricity_access,unemployment_total,log_gdp_per_capita,date,decade,inequality_category,gdp_per_capita_norm,life_expectancy_norm,school_enrollment_secondary_norm,electricity_access_norm,development_score,development_tier
SVN,2021,53.80640426764433,48.69834935642963,26.650904327462722,26.329154601253947,20794.79184793472,False,27.493852473258663,0.1021954648242185,0.2490190274176226,93.02549263068342,0.3457785142748245,111.12846020456031,0.2065338907461344,22.576388862866633,111.12846020456031,3.3835015562538127,4.92233106364247,0.243583049450606,YR2021,Slovenia,29192.8401933019,80.6756097560976,108.17887878418,2108079.0,100.0,4.744,10.28171301371863,2021-01-01,2020,Low inequality,0.2148096755523675,0.9122786241525168,0.6434974496035687,1.0,0.6926464373271133,High development
SVN,2022,53.837352994627345,48.35214453644039,26.388766421300033,26.067383223355684,20862.90883667246,False,27.551947673669552,0.1023525345921791,0.2493691545944323,93.37554931334522,0.3468801644934668,111.39876157552094,0.2069172338146691,22.649067604563605,111.39876157552094,3.3890725410523705,4.918470089827229,0.2445276299012877,YR2022,Slovenia,28360.3041467268,81.2829268292683,107.874809265137,2112076.0,100.0,4.011,10.252780965016369,2022-01-01,2020,Low inequality,0.20862946508758,0.9259936954736412,0.6412603593201693,1.0,0.6939708799703477,High development
SVN,2023,54.709743406803646,49.23566976212004,26.792301966657895,27.775533300139372,20949.01881454364,False,27.449279591046434,0.1003451227579059,0.2459561488680483,95.20382339538693,0.3480324251842381,112.88580347839643,0.2063358306015329,22.523591645201495,112.88580347839643,3.468354172269099,5.011891764715331,0.2476873024263322,YR2023,Slovenia,32660.4753581346,81.9780487804878,107.626876831055,2120461.0,100.0,3.652,10.393951538747734,2023-01-01,2020,Low inequality,0.24055116172816274,0.9416916686725185,0.6394362789553566,1.0,0.7054197773390095,High development
SWE,2019,63.45694985682287,55.6125655331213,39.65139009694569,36.54349250170952,103003.8959544373,False,25.636074135559532,0.0807983182091228,0.2189047770542821,119.13586409175669,0.3754856303700752,144.28622741564055,0.22737655645471772,18.64092885177735,144.28622741564055,4.647196113639903,7.740291729179758,0.2946873121609524,YR2019,Sweden,51648.9892820514,83.109756097561,136.641006469727,10278887.0,100.0,6.833,10.852245267036658,2019-01-01,2010,Low inequality,0.3815096378759792,0.9672490706524469,0.852898081046685,1.0,0.8004141973937777,High development
SWE,2020,64.67386991485178,56.98076391147823,38.629205925940155,38.2120051695788,103569.9374900627,False,26.608387355500685,0.0822848157703654,0.2202220238705182,120.20792901684868,0.371735692251329,144.8529002707126,0.2239743817115371,19.707490177003045,144.8529002707126,4.517670590510191,7.350144486675607,0.2894508764809636,YR2020,Sweden,52568.5726980146,82.3560975609756,136.426132202148,10353442.0,100.0,8.291,10.869892765532686,2020-01-01,2020,Low inequality,0.3883360318489015,0.9502291628683994,0.8513172151392229,1.0,0.7974706024641309,High development
SWE,2021,64.70738392990195,56.67024283805587,39.58961045606445,39.13930846032443,104369.840117331,False,25.358365665579008,0.0783785840980675,0.2151550464194559,122.11239428567065,0.3774295509086109,147.2026494679817,0.22748972455360988,18.150841866218066,147.2026494679817,4.8154678379539195,8.109962642666835,0.29905096681054344,YR2021,Sweden,60647.5416365347,83.0560975609756,138.688186645508,10415811.0,100.0,8.803,11.012850868518953,2021-01-01,2020,Low inequality,0.44830908476827563,0.9660372972827082,0.8679595278303721,1.0,0.820576477470339,High development
SWE,2022,64.95394295042998,55.97605513121146,51.10195216089049,37.96785544338334,105274.1560736179,False,24.104986957049533,0.074221781964631,0.208794083658785,127.17101085540132,0.3915728748059295,160.1449019661217,0.2465514712299096,16.273462317580606,160.1449019661217,5.275713738488873,9.840862309498414,0.3173510928412985,YR2022,Sweden,54836.8907235124,83.0585365853659,139.406524658203,10486941.0,100.0,7.417,10.912136670564426,2022-01-01,2020,Medium inequality,0.4051745613712181,0.9660923778904247,0.8732444606755125,1.0,0.8111278499842889,High development
SWE,2023,62.83388526244889,55.60335240710187,37.084368345944675,37.73021231668215,104894.6005685997,False,24.668189806089,0.0785187473384881,0.2165879768951235,116.92913434110915,0.3721849567401765,140.35920064033684,0.2233813810081524,17.35235580464448,140.35920064033684,4.740077616568639,8.088769168896867,0.2936662094016884,YR2023,Sweden,54950.2834725622,83.309756097561,134.244293212891,10536632.0,100.0,7.611,10.914202316657487,2023-01-01,2020,Low inequality,0.40601631598015253,0.9717656804851066,0.8352650609536582,1.0,0.8032617643547293,High development
SYR,2022,5.341806846833853,4.755602059623526,2.6930990649657978,3.113033578093765,41341.35962088972,False,2.459467708889681,0.0920837379340089,0.2315929396357253,9.596228223242464,0.3592877278567245,11.294862904020004,0.2114427426501552,2.028087259955389,11.294862904020004,3.9017500366266864,5.569219395554239,0.26720398992271566,YR2022,Syrian Arab Republic,1051.67149587463,72.79,39.6268081665039,22462173.0,89.0,13.245,6.9590864937316,2022-01-01,2020,Low inequality,0.005907795578931701,0.7341975113479823,0.1391484061072937,0.878987898789879,0.4395604029560217,Low development
TCD,2022,4.577543438390264,3.661109983364148,3.8412874432811903,2.94343160332657,174147.1800000001,False,1.5766963086633985,0.0688883166215403,0.178758698458151,10.272855240063102,0.4488370401428954,13.532954226675983,0.2956379204002685,1.2844461851130144,13.532954226675983,6.515430513547429,10.53602274935735,0.3799487235213551,YR2022,Chad,966.036468278568,54.528,23.323583125469852,18455316.0,11.7,1.081,6.874236207543186,2022-01-01,2020,High inequality,0.005272096385030422,0.3217858675278335,0.01920285404354802,0.028602860286028597,0.09371591956061014,Low development
